id;created;description;favourites;followers;friends;lang;location;name
754154858064781312;2016-07-16 00:25:04.0;Q todo sea de todos colores;14;2;34;es;Montevideo, Uruguay;Gustavo Lemos
753020065025519616;2016-07-12 21:15:49.0;A true american hero;0;13;272;pt;Ohio, USA;Jesse Owens
713211995890315265;2016-03-25 00:52:45.0;Por isso não provoque! sou cor de rosa XOQUE!;2174;357;292;en;Brasil;Crix Cardim
745966844700467200;2016-06-23 10:08:49.0;Plz find the Best Egyptian Radio stations in instant click on your Android Device through this Free App on the GooglePlay Store.Plz try it,rate it and share it.;0;154;24;fr;Casablanca, Grand Casablanca;AndroidRadioEgypt
23340287;2009-03-08 16:00:31.0;Writer & Producer for @TheHerd w/ @ColinCowherd on @FS1. Sports Nut. Fan of Game of Thrones, Hulu/Netflix binge-watching, and The Fusco Show. UNLV Alum.;3049;1095;981;en;Los Angeles, CA;Sharief Ali
1248908012;2013-03-07 10:27:33.0;Twitter Oficial de Maristas Cartagena;35;549;41;es;;Maristas Cartagena
58972703;2009-07-21 21:18:33.0;WORLD, SPORTS, NEWS... AND INFORMATIONSThx you follow meI;31;989;1397;pt;Rio de Janeiro - ;Alberto Allen
9707572;2007-10-26 09:46:09.0;CAUTION! The Daily Squib can be hazardous to your health!;135;106626;2818;en;All major cities worldwide;Daily Squib News
124330953;2010-03-18 22:56:12.0;Servo de Jesus - Pastor da ⛪️Restituição - M12 - Discípulo do Ap. @ReneTerraNova;31;17823;944;pt;Camaçari-Bahia-Brasil;Ap.Maurício Santa Fé
125175760;2010-03-21 20:48:33.0;Ficwriter, leitora compulsiva, fã de Harry Potter, animes, seriados e cosplay. Moderadora do @Nyah_Brasil.;301;408;190;en;Interior de São Paulo;Kaline Bogard
15007299;2008-06-04 14:03:00.0;Te informamos sobre las noticias más recientes de Venezuela y el mundo, Deportes, Espectáculos, Ciencia, Economía y más ¡Tu opinión es importante!;4462;3808423;363103;es;Caracas - Venezuela;El Nacional
33900207;2009-04-21 10:21:04.0;A&R Consultant | Co-Founder & Manager @RolenMusicGroup @SleekToneRecs | Songwriter | I live for long shots;979;2876;294;en;The ink on your page, NYC✈️LA.;Aurora Pfeiffer
1127040134;2013-01-28 02:57:09.0;Executive Director for the https://t.co/IwPItrIeWo Tour's Digital Ally Open, Kansas City's only PGA TOUR sanctioned event, August 1-7, 2016;1087;574;1061;en;Overland Park, KS;Kelly Eddy
1642794565;2013-08-03 09:47:20.0;Like a 3rd rate super-hero, my superpower is boring folk wi' 'ow good Sheff is.  And tea. I love tea. Also freelance marketer.;642;329;364;en;Sheffield, UK;Marc.
22082046;2009-02-26 20:57:43.0;Triple shot lattes, Loco moco, Dim sum, Motown, GFriend. Picanha mal-passado. Need I say more?;16;762;840;en;North of Sampa, East of HNL;burajiru
291316975;2011-05-01 17:04:39.0;Estudante de Jornalismo Instagran:sergioalejandro_realSnap : EuAlejandro27;1013;1150;2830;pt;Barra da Tijuca-RJ;Sergio Alejandro
2885048388;2014-10-31 11:02:47.0;Primer fans club oficial de Jonathan Calleri. Ex All Boys, ex Boca Juniors, actual São Paulo. @Jocalleri ❤️ https://t.co/OEiJfSoiP7;8020;6184;3040;es;Siguiendolo desde Argentina;Pachis de JC ♡
163523852;2010-07-06 13:50:53.0;El Club de Fans dedicado a Maite Perroni Beorlegui !! Oficializado y Seguido Por @MaiteOficial Desde 27/09/11;35;8344;209;es;;Maniacos Pela Maite
442034411;2011-12-20 15:44:56.0;Athlete Modern Pentathlon ❤️ @Flamengo @Liverpool;15426;698;381;pt;Rio de Janeiro, Brasil;Breno Lima
15556446;2008-07-23 03:01:44.0;I'm my own worst enemy.;11;2261;263;pt;Rio de Janeiro;Lucas Flores
2905777289;2014-12-04 22:25:00.0;i love ass;3864;288;925;pt;;G.A.b.Y
1408852290;2013-05-06 19:32:22.0;Ativista lésbica, feminista e antirracista, cientista política, Coordenadora Executiva do ELAS Fundo de Investimento Social | Opinions are my own;433;144;271;pt;Manhattan, NY;K. K. Verdade
957562542;2012-11-19 12:49:40.0;Actualidad sobre los deportes en México y en el mundo: noticias, resultados, estadísticas, videos y más. También en facebook: https://t.co/PNrfm8izCj;196;42303;203;es;México;AS México
49304624;2009-06-21 09:34:25.0;boosting participation - empowering people | youth worker @Zuiddag | member of city council Leuven | @Groen | social work | children's rights | urban solutions;9041;2866;858;nl;Leuven;Lies Corneillie
1228125170;2013-02-28 15:31:58.0;Welcome to Missy Hair Boutique. We offer a wide variety of 100% virgin human hair and full lace wigs in many different textures.;0;159;9;en;;Missy HairBoutique
38596749;2009-05-08 00:31:53.0;Breathless messenger in love with God, Family, Country & the good Earth. Author 'Souldance'.  Founder @PROCommJA, #PRODEV, @ccrpjamaica; Columnist, JP.;7423;8979;7715;en;Jamaica;Jean Lowrie-Chin
97785622;2009-12-18 23:02:41.0;Exulten por fin los coros de los ángeles,exulten las jerarquías del cielo,y por la victoria de Rey tan poderosoque las trompetas anuncien la salvación.;11993;585;969;es;México;Guillermo Antonio
1665324672;2013-08-12 12:35:07.0;não amável;611;934;199;en;;jessé
2990583691;2015-01-20 00:44:06.0;colleyville heritage '18 || proverbs 3:6;1222;188;252;en;;MANDY MOORE
259201471;2011-03-01 07:43:40.0;A Gazeta Russa é um suplemento sobre a Rússia em português, publicado duas vezes ao mês no jornal Folha de S.Paulo.;2;2926;1833;en;Moscou;Gazeta Russa
83220792;2009-10-17 18:10:07.0;FASHION TRAVEL POLO GOURMET ARCHITECTURE DESIGN LUXURY AND MUCH MORE ... BY SU COSABB YOU CAN JOIN ME ON FACEBOOK SUSANE COSABB AMBASSADOR DOGNIN & ULTRA HOTEL;136;1631;5001;en;ARGENTINA;TRAVEL FASHION  POLO
104518122;2010-01-13 13:37:26.0;Realizacion de Cine, TV y Espectaculos. - Voleibol & Gim Rítmica --- 11 años Anymaniaca de Corazón @Anahi ..@Ponchohd;1279;1437;995;es;Zaragoza/Madrid, España;Vicky Martinez L.
1370805348;2013-04-21 20:48:07.0;Te vejo sob a luz do luar...;18836;5684;3032;pt;Espirito Santo - Brasil;Di Bianchi & Moro
3300141926;2015-07-29 01:07:26.0;A passionate sportswomen trying to live a life that my two darling daughters can and will be proud of! ➡️Touchblacks 05/15 ➡️NZ Womens 7s 15/16 ⚫⚪️️ #RoadToRio;2313;1772;207;en;Auckland Region, New Zealand;Niall Williams
48200972;2009-06-17 22:46:37.0;Ex-idiota amador. Ex-idiota profissional. Hoje, pratico o idiotismo por hobby e toma quase todo meu tempo. ;) e o resto do tempo falo de mangá e My Little Pony;1249;381;254;pt;Brazil;Agronopolos
747851883537108994;2016-06-28 14:59:18.0;Una mente preocupada por la duda no se puede centrar en el curso a la victoria-Arthur Golden.;0;15;21;es;Cuauhtémoc, Distrito Federal;Florencia Tomasí
47145498;2009-06-14 15:37:54.0;Agência de viagens especializada em congressos e eventos.  Tel. 55 21 2579 3421 /2286 2636 10 às 22 hs.Atendimento com hora marcada.;933;2188;1141;en;ÜT:-22.944192, -43.182086;Round Trip Turismo
744570919834783744;2016-06-19 13:41:55.0;NUNCA ACREDITEI NOS #POLÍTICOS DE ONTEM DE HOJE E SEMPRE, E NEM TÃO PAUCO NA #POLÍTICA DO #BRASIL;110;23;304;en;Brasil;Juli Silva
722590573924917249;2016-04-19 21:59:52.0;“Aquel que no espera vencer, ya está vencido”;0;13;32;es;Cuauhtémoc, Distrito Federal;Estefanía Barra
2371419535;2014-03-04 02:09:11.0;Fã do Slim rapper (@Slim_Rimografia ) da melhor qualidade;16615;1979;717;pt;;Slim Rimografia (FC)
212759667;2010-11-06 22:05:28.0;Comentários, dicas, sugestões, experiências pessoais e informações gerais de um amante da arquitetura.;44;97;211;pt;Cuiabá - MT;Fernando Machado
15992341;2008-08-26 01:17:55.0;husband - dad - friend - often told i'm too serious and should laugh more. It's likely true.;591;43739;9692;en;Broken Arrow, Oklahoma;JoeCook
229345359;2010-12-22 02:58:47.0;Arkansan, Brand Ambassador & Twitter Party host, wife & mama of 4, crafter, #DIY #gardener #homeschooler #DisneySMMC #AventMom #HpSmartMom #PTPABlogaholics;1239;12010;6566;en;Arkansas;Amanda
212423759;2010-11-05 23:26:03.0;Graphic Designer from Argentina based in Rio de Janeiro.;4;384;555;es;Rio de Janeiro, Brasil;Vero Gobet
3491253503;2015-08-30 10:05:48.0;*Ator*Youtuber brasileiro.Email Profissional:ericknnilha@gmail Snap chat: erick_oficial20Canal Quintanilha (YouTube);247;292;738;pt;Rio de Janeiro, Brasil;E.QuintanilhaOficial
26039140;2009-03-23 13:55:19.0;;3625;1545;498;es;CDMX;Doctor lucifferk
45013575;2009-06-05 19:21:49.0;Encuentra lo que no te dicen otros medios en teleSUR. Con más de 40 corresponsales en el mundo te acercamos a la noticia.Somos la señal Informativa desde el Sur;363;1235775;232;es;Caracas;teleSUR TV
2418450902;2014-03-30 01:30:32.0;;121278;1553;1366;pt;;Nancy
1506923040;2013-06-11 18:39:16.0;Fanatico al futbol, seguidor de F.C. Barcelona, Testigo de 2 Tripletes y 4 Champions #yovijugaraMessi. Linkin park;1525;318;1470;es;Puerto Barrios,IzabalGuatemala;Julio lopez
51655397;2009-06-28 02:01:03.0;Trapezista, equilibrista, emotiva e desmotiva, caçadora, investidora, carnavalesca, velocista, cobradora, actriz, aprendiz, eletricista e narradora humanista.;1521;2025;1490;pt;Estocolmo-Brazil ;GiGi Radio
469325834;2012-01-20 11:42:07.0;i am an engineer, i make projects that always works, with as few original ideas as possible.  https://t.co/UdwY9qA4mc;2799;618;389;pt;Aqui ou ali... talvez no café;zE Ribeiro
177005688;2010-08-10 21:49:46.0;Ironia, sarcasmo, deboche, ira, luxúria, gula e muito mais vc encontra aqui. Portal atualizado pelo próprio e equipe, acompanhe mais no snapchat: xdiegoscott;3035;1613;863;pt;Rio de Janeiro, Brazil;Diego Mad
2351288275;2014-02-19 04:15:08.0;Katharine Nohr, HI #attorney, #insurance defense, #ProAthlete risk mngmnt coach, #riskmanagement expert, international #speaker; #author of #triathlon #novels.;2699;19737;19550;en;Honolulu, Hawaii;Katharine Nohr
4355621476;2015-12-02 21:48:15.0;;0;88;33;pt;;#AgoraNaBahia
354459103;2011-08-13 16:12:04.0;| Galsen|@NICKIMINAJ❤| @Drake❤️|#BlackLivesMatter;13389;489;337;fr;Senegal;Hein?
